rho,logF,log2n,n,m,delta,eta,feasible,t,achieved_bits,floor_bits,proof_size_bits,proof_size_kb,mca_bound,list_bound,note
1/2,128.0,24,16777216,1,0.05983040677966102,0.23306281203379142,False,,101.59654443636998,101.59654443636998,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.60 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.059830). No finite t helps.
1/2,128.0,24,16777216,1,0.06813547457627118,0.22475774423718126,False,,101.5539463171876,101.5539463171876,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.55 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.068135). No finite t helps.
1/2,128.0,24,16777216,1,0.07644054237288135,0.2164526764405711,False,,101.50944334839858,101.50944334839858,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.51 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.076441). No finite t helps.
1/2,128.0,24,16777216,1,0.08474561016949152,0.20814760864396092,False,,101.46288215839058,101.46288215839058,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.46 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.084746). No finite t helps.
1/2,128.0,24,16777216,1,0.09305067796610168,0.19984254084735076,False,,101.41409054127105,101.41409054127105,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.41 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.093051). No finite t helps.
1/2,128.0,24,16777216,1,0.10135574576271186,0.19153747305074056,False,,101.3628742546737,101.3628742546737,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.36 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.101356). No finite t helps.
1/2,128.0,24,16777216,1,0.10966081355932203,0.1832324052541304,False,,101.30901310721664,101.30901310721664,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.31 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.109661). No finite t helps.
1/2,128.0,24,16777216,1,0.1179658813559322,0.17492733745752023,False,,101.252256137728,101.252256137728,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.25 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.117966). No finite t helps.
1/2,128.0,24,16777216,1,0.1262709491525424,0.16662226966091004,False,,101.19231562089996,101.19231562089996,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.19 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.126271). No finite t helps.
1/2,128.0,24,16777216,1,0.13457601694915255,0.15831720186429987,False,,101.1288595389449,101.1288595389449,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.13 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.134576). No finite t helps.
