axis,label,p,n,k,rho,log_p,delta,margin_rE_minus_delta,word_type,tag,L,smallest_r,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12
"fix_nk_vary_p(n=20,k=4)",GF(41)_n20_k4,41,20,4,0.2,3.713572,0.6,0.06658,coset_kambire,X^10,2,,111969.090909,16559.276438,3489.559325,934.208224,296.591597,110.652543,50.452979,30.217696,24.47054,24.912048,28.705657,34.954471
"fix_nk_vary_p(n=20,k=4)",GF(41)_n20_k4,41,20,4,0.2,3.713572,0.6,0.06658,random,random_0,0,9,111977.532468,16558.728285,3489.59492,934.205913,294.856253,106.33699,43.111233,19.419281,9.631318,5.219779,3.067525,1.937659
vary_rho(n~28-32),GF(257)_n32_k2,257,32,2,0.0625,5.549076,0.8125,0.082912,adversarial_cluster,cluster_plurality,5,3,1234.076821,211.149869,46.240106,19.357599,17.184968,21.267602,28.91697,40.60382,57.951768,83.602836,121.559977,177.820214
vary_rho(n~28-32),GF(257)_n32_k2,257,32,2,0.0625,5.549076,0.8125,0.082912,coset_kambire,X^8,4,4,1233.483444,211.162444,47.630169,21.44496,19.712493,24.025244,31.420015,41.818258,55.929583,74.91356,100.389193,134.549865
vary_rho(n~28-32),GF(257)_n32_k2,257,32,2,0.0625,5.549076,0.8125,0.082912,random,random_0,0,4,1235.454305,211.120677,40.768152,9.399601,2.647622,0.891941,0.345919,0.149775,0.070907,0.036116,0.019512,0.011041
vary_rho(n~28-32),GF(109)_n27_k3,109,27,3,0.111111,4.691348,0.740741,0.07401,adversarial_cluster,cluster_plurality,4,6,37046.311141,5612.225804,1063.340989,258.891965,81.843486,36.199703,24.461494,23.360402,26.590801,32.431294,40.605007,51.400465
vary_rho(n~28-32),GF(109)_n27_k3,109,27,3,0.111111,4.691348,0.740741,0.07401,coset_kambire,X^9,3,7,37044.220109,5612.302513,1063.338175,258.4418,81.661047,36.871877,26.387043,26.900606,32.184617,40.668041,52.281213,67.580252
vary_rho(n~28-32),GF(109)_n27_k3,109,27,3,0.111111,4.691348,0.740741,0.07401,random,random_0,0,7,37042.642663,5612.360381,1063.336052,255.647911,74.906719,25.574019,9.918913,4.316962,2.090414,1.116567,0.65159,0.41098
vary_rho(n~28-32),GF(29)_n28_k4,29,28,4,0.142857,3.367296,0.678571,0.058266,adversarial_cluster,cluster_plurality,4,8,31800.7897,6392.454309,1642.8401,513.939787,190.338707,82.426173,42.145958,26.008487,19.547332,17.467199,17.69652,19.410158
vary_rho(n~28-32),GF(29)_n28_k4,29,28,4,0.142857,3.367296,0.678571,0.058266,coset_kambire,X^16,2,,31752.72103,6398.230802,1642.145929,514.023206,198.289179,104.747852,87.634765,108.464832,161.374985,255.230466,411.019442,665.363136
vary_rho(n~28-32),GF(29)_n28_k4,29,28,4,0.142857,3.367296,0.678571,0.058266,random,random_0,0,10,31819.656652,6390.187036,1643.112562,513.907045,188.493197,78.582643,36.42519,18.473114,10.119876,5.924271,3.672165,2.391067
vary_rho(n~28-32),GF(31)_n30_k4,31,30,4,0.133333,3.433987,0.7,0.05359,adversarial_cluster,cluster_plurality,4,8,41591.686747,8394.687182,2165.050913,679.91512,251.990125,108.051912,53.423286,30.667317,20.53825,15.89187,13.840923,13.132192
vary_rho(n~28-32),GF(31)_n30_k4,31,30,4,0.133333,3.433987,0.7,0.05359,coset_kambire,X^10,3,9,41588.313253,8395.093628,2165.001944,679.92102,252.147337,108.305142,53.761344,31.135928,21.212228,16.853679,15.170922,14.906501
vary_rho(n~28-32),GF(31)_n30_k4,31,30,4,0.133333,3.433987,0.7,0.05359,random,random_2,1,10,41596.746988,8394.077515,2165.124367,679.90627,251.093901,105.987195,50.177791,26.307664,15.126082,9.456502,6.375017,4.59478
vary_rho(n~24-25),GF(101)_n25_k3,101,25,3,0.12,4.615121,0.72,0.080754,adversarial_cluster,cluster_plurality,4,6,29452.346041,4458.144495,843.446635,203.582737,61.386974,23.041932,11.093037,6.923036,5.318209,4.643556,4.336425,4.186341
vary_rho(n~24-25),GF(101)_n25_k3,101,25,3,0.12,4.615121,0.72,0.080754,coset_kambire,X^3,0,7,29445.601173,4458.391741,843.437572,200.708594,56.896112,18.087175,6.199609,2.239551,0.840149,0.323796,0.127165,0.050587
vary_rho(n~24-25),GF(101)_n25_k3,101,25,3,0.12,4.615121,0.72,0.080754,random,random_0,0,7,29450.073314,4458.227806,843.443581,202.162927,58.81782,19.784713,7.465791,3.105587,1.405104,0.683071,0.352897,0.191936
