field,q,n,k,rho,n_over_q,johnson,capacity,delta,delta_minus_johnson,delta_minus_capacity,meaningful_regime,smooth_close_mean,random_close_mean,close_mean_diff,smooth_close_max,random_close_max,smooth_frac_bad,random_frac_bad,badfrac_diff,smooth_Sstar_min_among_close,random_Sstar_min_among_close,smooth_num_lines,control_bad
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.4422,-0.1106,-0.3578,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.4975,-0.0553,-0.3025,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.5528,0.0,-0.2472,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.6146,0.0618,-0.1854,True,0.4167,0.4722,-0.0556,2,2,0.0556,0.0556,0.0,2,2,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.6764,0.1236,-0.1236,True,0.4167,0.4722,-0.0556,2,2,0.0556,0.0556,0.0,2,2,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.7382,0.1854,-0.0618,True,90.8611,90.6111,0.25,117,114,0.8333,0.8333,0.0,2,2,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.8,0.2472,0.0,False,521.0,521.0,0.0,521,521,0.0,0.0,0.0,2,2,36,0
GF(521),521,10,2,0.2,0.01919,0.5528,0.8,0.82,0.2672,0.02,False,521.0,521.0,0.0,521,521,0.0,0.0,0.0,2,2,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.1757,-0.1172,-0.3243,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.2343,-0.0586,-0.2657,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.2636,-0.0293,-0.2364,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.2929,0.0,-0.2071,True,0.1667,0.1667,0.0,1,1,0.0,0.0,0.0,-1,-1,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.3447,0.0518,-0.1553,True,12.25,12.25,0.0,15,15,0.8333,0.8333,0.0,3,3,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.3964,0.1035,-0.1036,True,12.25,12.25,0.0,15,15,0.8333,0.8333,0.0,3,3,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.4482,0.1553,-0.0518,True,12.25,12.25,0.0,15,15,0.8333,0.8333,0.0,3,3,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.5,0.2071,0.0,False,127.0,127.0,0.0,127,127,0.0,0.0,0.0,3,3,36,0
GF(127),127,6,3,0.5,0.04724,0.2929,0.5,0.52,0.2271,0.02,False,127.0,127.0,0.0,127,127,0.0,0.0,0.0,3,3,36,0
